Id	Designator	Package	Quantity	Designation	Supplier and ref	
1	R1	SM0603	1	4k3	213-0908	Farnell
2	R2	SM0603	1	51R	213-0754	Farnell
3	U1	TCRT1000	1	TCRT1000	147-0064	Farnell
4	C1	SM1206	1	10uF	235-3045	Farnell
5	R3	SM0603	1	15k	933-0615	Farnell
6	R4	SM0603	1	165R	117-0708	Farnell
7	P1	HEADER_4X1	1	CONN_4	THS-03-R-RAF 	http://www.toby.co.uk/content/catalogue/products.aspx?series=THS-xx-R-RAF
8	Q1	SOT23	1	TRANSISTOR_NPNSOT23	108-1225	Farnell
